n_syn,n_closer,n_further,n_equal,share,dists_trn_mean,dists_val_mean,dataset,synthesizer
50000,9239,8608,32153,0.50631,2.338399887084961,2.3519599437713623,adult,mostly
50000,8343,8357,33300,0.49986,4.187960147857666,4.187860012054443,adult,copulagan
50000,8594,8180,33226,0.50414,4.492839813232422,4.501100063323975,adult,ctgan
50000,6305,6372,37323,0.49933,3.893399953842163,3.892199993133545,adult,tvae
50000,7356,7390,35254,0.49966,5.53734016418457,5.5366997718811035,adult,gaussian_copula
50000,8891,8656,32453,0.50235,2.489000082015991,2.493799924850464,adult,gretel
50000,14550,6515,28935,0.5803499999999999,2.1366400718688965,2.3268799781799316,adult,synthpop
50000,8222,8383,33395,0.49839,2.775739908218384,2.77266001701355,adult,mostly_e1
50000,8587,8385,33028,0.50202,2.5199999809265137,2.524739980697632,adult,mostly_e2
50000,9057,8737,32206,0.5032,2.4614200592041016,2.468100070953369,adult,mostly_e4
50000,8995,8724,32281,0.50271,2.416879892349243,2.422260046005249,adult,mostly_e8
50000,9176,8831,31993,0.50345,2.3628199100494385,2.3703999519348145,adult,mostly_e16
50000,44636,350,5014,0.9428599999999999,0.8424999713897705,2.5673999786376953,adult,flip10
50000,37132,1298,11570,0.85834,1.6168999671936035,2.843780040740967,adult,flip20
50000,28539,2783,18678,0.75756,2.287480115890503,3.083980083465576,adult,flip30
50000,20643,4416,24941,0.66227,2.8336598873138428,3.291980028152466,adult,flip40
50000,14932,5751,29317,0.59181,3.235340118408203,3.4766600131988525,adult,flip50
50000,10971,6937,32092,0.54034,3.507659912109375,3.6083199977874756,adult,flip60
50000,8875,7463,33662,0.5141199999999999,3.687079906463623,3.719719886779785,adult,flip70
50000,8018,7744,34238,0.50274,3.7877800464630127,3.7939200401306152,adult,flip80
50000,7615,7853,34532,0.49762,3.843179941177368,3.838599920272827,adult,flip90
24421,4522,4525,15374,0.49993857745383075,2.273739814758301,2.27365779876709,adult,val
50000,12818,11737,25445,0.51081,9.805760383605957,9.833239555358887,credit-default,mostly
50000,10638,10648,28714,0.4999,12.039139747619629,12.039019584655762,credit-default,copulagan
50000,10539,10458,29003,0.50081,12.372940063476562,12.374259948730469,credit-default,ctgan
50000,10321,9586,30093,0.50735,14.30582046508789,14.320699691772461,credit-default,tvae
50000,10436,10294,29270,0.50142,13.82036018371582,13.823659896850586,credit-default,gaussian_copula
50000,11691,10884,27425,0.50807,10.95203971862793,10.972760200500488,credit-default,gretel
50000,19513,9857,20630,0.59656,8.970159530639648,9.260580062866211,credit-default,synthpop
50000,10708,10405,28887,0.50303,11.264800071716309,11.271739959716797,credit-default,mostly_e1
50000,11141,10724,28135,0.50417,10.589340209960938,10.599360466003418,credit-default,mostly_e2
50000,11499,11277,27224,0.50222,10.415300369262695,10.419260025024414,credit-default,mostly_e4
50000,11910,11035,27055,0.50875,9.911660194396973,9.933279991149902,credit-default,mostly_e8
50000,12546,11522,25932,0.51024,9.981619834899902,10.006380081176758,credit-default,mostly_e16
50000,49465,25,510,0.9944,1.8034600019454956,9.292679786682129,credit-default,flip10
50000,48930,92,978,0.98838,3.6211400032043457,9.873220443725586,credit-default,flip20
50000,48181,222,1597,0.9795900000000001,5.41077995300293,10.432459831237793,credit-default,flip30
50000,46231,538,3231,0.95693,7.206900119781494,10.976200103759766,credit-default,flip40
50000,41608,1509,6883,0.90099,8.918060302734375,11.441020011901855,credit-default,flip50
50000,32809,3565,13626,0.79244,10.423379898071289,11.843299865722656,credit-default,flip60
50000,21812,6513,21675,0.65299,11.543620109558105,12.126779556274414,credit-default,flip70
50000,13965,8963,27072,0.55002,12.196359634399414,12.347840309143066,credit-default,flip80
50000,11041,10205,28754,0.50836,12.425760269165039,12.447059631347656,credit-default,flip90
15000,4415,4481,6104,0.4978,8.664799690246582,8.656266212463379,credit-default,val
50000,10392,9695,29913,0.50697661631019,3.681180000305176,3.696199893951416,bank-marketing,mostly
50000,9897,9661,30442,0.5023667333171131,4.459839820861816,4.464019775390625,bank-marketing,copulagan
50000,9858,9518,30624,0.5034067735728032,4.605040073394775,4.611979961395264,bank-marketing,ctgan
50000,9433,8169,32398,0.5126471659551879,4.611199855804443,4.637639999389648,bank-marketing,tvae
50000,8848,9261,31891,0.4958770538143373,5.650519847869873,5.641300201416016,bank-marketing,gaussian_copula
50000,9586,9640,30774,0.4994668067505696,4.001719951629639,4.0005998611450195,bank-marketing,gretel
50000,16572,7014,26414,0.5955858423834908,3.437880039215088,3.6784000396728516,bank-marketing,synthpop
50000,9263,9345,31392,0.49918694344296743,3.9611599445343018,3.9590001106262207,bank-marketing,mostly_e1
50000,9471,9527,31002,0.49944685718077464,3.9499399662017822,3.9489998817443848,bank-marketing,mostly_e2
50000,9775,9551,30674,0.5022467846320586,3.831360101699829,3.8369998931884766,bank-marketing,mostly_e4
50000,9913,9531,30556,0.5038267585322156,3.745959997177124,3.7543399333953857,bank-marketing,mostly_e8
50000,10113,9633,30254,0.5048066917343124,3.710700035095215,3.7220399379730225,bank-marketing,mostly_e16
50000,48754,96,1150,0.9865802543628762,0.9633399844169617,3.761460065841675,bank-marketing,flip10
50000,44051,697,5252,0.9335411616641968,1.8872599601745605,3.9196600914001465,bank-marketing,flip20
50000,36114,2110,11776,0.8400426046758532,2.7063798904418945,4.0570597648620605,bank-marketing,flip30
50000,27064,3908,19028,0.7315642087102696,3.3819000720977783,4.175899982452393,bank-marketing,flip40
50000,19276,5788,24936,0.6348855154718984,3.865920066833496,4.274819850921631,bank-marketing,flip50
50000,13613,7416,28971,0.5619764079538165,4.1640801429748535,4.335879802703857,bank-marketing,flip60
50000,10500,8480,31020,0.5202068611621066,4.338180065155029,4.389939785003662,bank-marketing,flip70
50000,9343,8792,31865,0.5055170480635244,4.413080215454102,4.426060199737549,bank-marketing,flip80
50000,8983,9072,31945,0.49911706575833314,4.449039936065674,4.4470601081848145,bank-marketing,flip90
22605,4690,4641,13274,0.5010903251739609,3.574518918991089,3.577659845352173,bank-marketing,val
50000,10336,9456,30208,0.5088,4.499680042266846,4.519460201263428,online-shoppers,mostly
50000,9448,9599,30953,0.49849,8.264960289001465,8.261819839477539,online-shoppers,copulagan
50000,9532,8980,31488,0.50552,8.586000442504883,8.596980094909668,online-shoppers,ctgan
50000,8818,8640,32542,0.50178,8.152620315551758,8.156539916992188,online-shoppers,tvae
50000,9072,9585,31343,0.49487,9.187700271606445,9.177359580993652,online-shoppers,gaussian_copula
50000,11438,9049,29513,0.52389,4.559319972991943,4.616660118103027,online-shoppers,gretel
50000,16373,7039,26588,0.59334,4.065780162811279,4.300039768218994,online-shoppers,synthpop
50000,8947,8450,32603,0.5049699999999999,5.973100185394287,5.983439922332764,online-shoppers,mostly_e1
50000,9341,8803,31856,0.50538,5.024660110473633,5.035860061645508,online-shoppers,mostly_e2
50000,9711,9281,31008,0.5043,4.586160182952881,4.595779895782471,online-shoppers,mostly_e4
50000,10078,9351,30571,0.50727,4.52485990524292,4.540559768676758,online-shoppers,mostly_e8
50000,10233,9485,30282,0.5074799999999999,4.555019855499268,4.570919990539551,online-shoppers,mostly_e16
50000,47704,150,2146,0.9755400000000001,0.9196799993515015,4.319540023803711,online-shoppers,flip10
50000,44432,602,4966,0.9383,1.8288600444793701,4.434919834136963,online-shoppers,flip20
50000,39621,1466,8913,0.8815500000000001,2.7349400520324707,4.642039775848389,online-shoppers,flip30
50000,31621,2850,15529,0.78771,3.39985990524292,4.603759765625,online-shoppers,flip40
50000,23865,4434,21701,0.69431,3.969180107116699,4.667140007019043,online-shoppers,flip50
50000,17168,5958,26874,0.6121,4.389520168304443,4.73606014251709,online-shoppers,flip60
50000,12370,7463,30167,0.54907,4.62608003616333,4.761320114135742,online-shoppers,flip70
50000,9985,8098,31917,0.5188699999999999,4.762340068817139,4.807000160217285,online-shoppers,flip80
50000,9071,8439,32490,0.50632,4.8272199630737305,4.840060234069824,online-shoppers,flip90
6165,1312,1247,3606,0.505271695052717,4.278994560241699,4.2880778312683105,online-shoppers,val
